experiment,mean_dice,minor_dice,major_dice,destroyed_dice,macro_f1
experiment_attention_unet_optuna_trial_003,0.2333475947380066,0.002451977226883173,0.0020015109330415726,0.38818177580833435,0.23335030674934387
experiment_attention_unet_optuna_trial_004,0.23426306247711182,5.861321410866038e-12,0.00020201729785185307,0.410121887922287,0.23426353931427002
experiment_attention_unet_optuna_trial_005,0.0134169552475214,0.0016862517222762108,0.048997946083545685,0.0009073707042261958,0.013420687057077885
experiment_attention_unet_optuna_trial_006,0.0385296531021595,5.861321410866038e-12,6.865303030928471e-12,0.154118612408638,0.03852979838848114
experiment_attention_unet_optuna_trial_007,0.21800102293491364,0.0001997479994315654,0.0007382798357866704,0.33532392978668213,0.21801601350307465
experiment_attention_unet_optuna_trial_008,0.0170770101249218,0.007233005948364735,0.05333820357918739,0.003301038406789303,0.01708007976412773
experiment_attention_unet_optuna_trial_009,0.11345022916793823,5.861321410866038e-12,6.865303030928471e-12,0.32875505089759827,0.11345033347606659
experiment_attention_unet_optuna_trial_010,0.20561857521533966,0.00038115656934678555,0.00014811284199822694,0.32100915908813477,0.20564013719558716
experiment_attention_unet_optuna_trial_011,0.017550064250826836,5.861321410866038e-12,6.865303030928471e-12,0.07020025700330734,0.017550259828567505
experiment_attention_unet_optuna_trial_012,0.11289584636688232,5.8606340266886825e-12,6.865303030928471e-12,2.8061588968307516e-13,0.2795560956001282
experiment_attention_unet_optuna_trial_013,0.13007758557796478,0.00024398758250754327,9.95445079752244e-05,0.019798114895820618,0.13007980585098267
experiment_attention_unet_optuna_trial_014,0.2211059331893921,0.0004583213885780424,0.0017318635946139693,0.34373006224632263,0.2211109846830368
experiment_deeplabv3_optuna_trial_000,0.05141859129071236,5.861321410866038e-12,6.865303030928471e-12,0.005829225294291973,0.051418863236904144
experiment_deeplabv3_optuna_trial_001,0.29399949312210083,0.00045401896932162344,9.372267413709778e-06,0.5706888437271118,0.2940045893192291
experiment_deeplabv3_optuna_trial_002,0.1756797730922699,2.8934122383361682e-05,1.3101695292908055e-12,0.03400230035185814,0.425666481256485
experiment_deeplabv3_optuna_trial_003,0.28182584047317505,5.861321410866038e-12,6.4073815697618386e-12,0.467738538980484,0.5315688252449036
experiment_deeplabv3_optuna_trial_004,0.08672201633453369,5.861321410866038e-12,6.865303030928471e-12,0.34688806533813477,0.08672211319208145
experiment_deeplabv3_optuna_trial_005,0.2515348196029663,0.00014197215205058455,0.00016019877512007952,0.39666542410850525,0.2515355348587036
experiment_deeplabv3_optuna_trial_007,0.1207059770822525,0.00016116035112645477,0.0006724342820234597,0.12169429659843445,0.12078377604484558
experiment_deeplabv3_optuna_trial_008,0.2985003888607025,0.00027619910542853177,6.865303030928471e-12,0.5227765440940857,0.2985006272792816
experiment_deeplabv3_optuna_trial_010,0.32099461555480957,0.0003126072115264833,2.19577214011224e-05,0.6216280460357666,0.3209969997406006
experiment_deeplabv3_optuna_trial_011,0.14992590248584747,0.0003677437489386648,2.367769047850743e-05,0.014904020354151726,0.14996236562728882
experiment_resnet50_optuna_trial_000,0.18691910803318024,6.438952550524846e-05,0.00021772262698505074,0.07823753356933594,0.18696942925453186
experiment_resnet50_optuna_trial_001,0.07286787778139114,5.861321410866038e-12,6.865303030928471e-12,0.2914715111255646,0.0728679671883583
experiment_resnet50_optuna_trial_002,0.09795644879341125,5.855829710021965e-12,0.00013683634460903704,0.3882954716682434,0.3332388699054718
experiment_resnet50_optuna_trial_003,0.3353384733200073,5.861321410866038e-12,6.865303030928471e-12,0.6307547688484192,0.3353385329246521
experiment_resnet50_optuna_trial_004,0.23054900765419006,5.8210606473929616e-12,6.844626861818304e-12,0.22275753319263458,0.7228618264198303
experiment_resnet50_optuna_trial_006,0.26987171173095703,6.585394294233993e-05,0.0004953628522343934,0.43151217699050903,0.2698964774608612
experiment_resnet50_optuna_trial_010,0.30762431025505066,0.0002588823263067752,6.865303030928471e-12,0.5570617318153381,0.3076244592666626
experiment_resnet50_optuna_trial_011,0.3221992552280426,0.000277255690889433,0.004048207774758339,0.6047053933143616,0.3222014904022217
experiment_unetplusplus_optuna_trial_000,0.07118695974349976,0.006921260617673397,0.012081672437489033,0.0017177887493744493,0.07118956744670868
experiment_unetplusplus_optuna_trial_001,0.02612840197980404,5.861321410866038e-12,6.865303030928471e-12,0.0391545444726944,0.02612880989909172
experiment_unetplusplus_optuna_trial_002,0.2324848473072052,0.00019162944226991385,0.00023445457918569446,0.3355274796485901,0.23248808085918427
experiment_unetplusplus_optuna_trial_003,0.015517333522439003,0.014116420410573483,6.8634182538718225e-12,0.0036273112054914236,0.2155085653066635
experiment_unetplusplus_optuna_trial_004,0.08075524121522903,5.861321410866038e-12,6.865303030928471e-12,0.04326513782143593,0.08075550198554993
experiment_unetplusplus_optuna_trial_005,0.16236302256584167,0.00014326682139653713,6.865303030928471e-12,0.15193888545036316,0.1623634696006775
experiment_unetplusplus_optuna_trial_006,0.1592126190662384,0.00011956231173826382,0.00014474398631136864,0.06670774519443512,0.15930096805095673
experiment_unetplusplus_optuna_trial_008,0.14127135276794434,0.00010026851668953896,6.860592823010325e-12,0.03162585571408272,0.36853039264678955
experiment_unetplusplus_optuna_trial_009,0.19666644930839539,0.000647385255433619,6.8648316198238746e-12,0.29730987548828125,0.3216622471809387
experiment_unetplusplus_optuna_trial_010,0.15106001496315002,3.064975680899806e-05,6.865303030928471e-12,0.023477602750062943,0.1511116325855255
