batch_size,decoder_lr,destroyed_class_weight,encoder_lr,experiment_dir,loss,major_class_weight,minor_class_weight,number,objective,sampler,scheduler,state,val_macro_f1,val_mean_dice,val_rare_class_recall,value
4,3.299506867503402e-05,2.150598211455498,5.739010950776128e-05,,cross_entropy_dice,1.288380681302976,1.1130120610923675,0,,weighted,warmup_cosine,TrialState.FAIL,,,,
4,0.0001266475984266196,1.7464514628730694,0.00011906402360263005,,tversky,2.1567474288254713,1.913446738306169,1,,weighted,reduce_on_plateau,TrialState.FAIL,,,,
4,6.575587892974413e-05,1.6519948715983384,2.1846290655105443e-05,,cross_entropy_dice,2.3269107431100773,1.5029657794618376,2,,weighted,warmup_cosine,TrialState.FAIL,,,,
4,0.0006370437627641248,2.1230275324546506,0.0001601460629548138,results/week6/experiment_attention_unet_optuna_trial_003,focal_tversky,2.4002653655481923,1.32689568274672,3,0.25662400126457213,shuffle,reduce_on_plateau,TrialState.COMPLETE,0.23335030674934387,0.2333475947380066,0.155176043510437,0.25662400126457213
2,0.00041556206637071813,1.8413882464806242,0.00014846545205351926,results/week6/experiment_attention_unet_optuna_trial_004,focal_tversky,1.6557557975075385,2.3690076810000367,4,0.2630850948393345,weighted,warmup_cosine,TrialState.COMPLETE,0.23426353931427002,0.23426306247711182,0.1921468824148178,0.2630850948393345
2,8.866535276494541e-05,1.5558782913451434,3.5703882355365524e-05,results/week6/experiment_attention_unet_optuna_trial_005,focal,2.179806576594231,2.319685696602625,5,0.015656292019411922,shuffle,warmup_cosine,TrialState.COMPLETE,0.013420687057077885,0.0134169552475214,0.014928911812603474,0.015656292019411922
2,0.000827760243910816,1.9049875300846217,1.2833824225405828e-05,results/week6/experiment_attention_unet_optuna_trial_006,focal,2.26671680419443,1.811330203148756,6,0.04511079713702202,weighted,cosine,TrialState.COMPLETE,0.03852979838848114,0.0385296531021595,0.04387429356575012,0.04511079713702202
2,0.00038356365435424235,2.2777247957684823,2.8911369641757922e-05,results/week6/experiment_attention_unet_optuna_trial_007,focal_tversky,1.9092669585976374,1.2086997012211473,7,0.24284408316016198,weighted,reduce_on_plateau,TrialState.COMPLETE,0.21801601350307465,0.21800102293491364,0.16562040150165558,0.24284408316016198
4,8.876233876146158e-05,2.637642265810424,2.3376360894999175e-05,results/week6/experiment_attention_unet_optuna_trial_008,focal,2.7978938230928523,2.2077420230732203,8,0.021464190725237132,shuffle,cosine,TrialState.COMPLETE,0.01708007976412773,0.0170770101249218,0.029247870668768883,0.021464190725237132
2,0.00040336274410971237,2.774668552452123,1.9477330361274212e-05,results/week6/experiment_attention_unet_optuna_trial_009,cross_entropy_dice,1.5409597551210112,1.5659176164456807,9,0.14102593287825585,weighted,reduce_on_plateau,TrialState.COMPLETE,0.11345033347606659,0.11345022916793823,0.18383802473545074,0.14102593287825585
2,0.00022676660191724447,1.5597902455866193,0.00011625178727624206,results/week6/experiment_attention_unet_optuna_trial_010,tversky,2.2401878471806107,2.1791769346174856,10,0.23641354218125343,weighted,reduce_on_plateau,TrialState.COMPLETE,0.20564013719558716,0.20561857521533966,0.20529977977275848,0.23641354218125343
2,0.0001901918366181931,2.814894201066502,0.00011267009783039066,results/week6/experiment_attention_unet_optuna_trial_011,focal,1.2516993091730662,2.0788884672087673,11,0.01986177805811167,shuffle,warmup_cosine,TrialState.COMPLETE,0.017550259828567505,0.017550064250826836,0.01541142538189888,0.01986177805811167
4,0.00022147512472705738,2.86222902310071,2.706041564295446e-05,results/week6/experiment_attention_unet_optuna_trial_012,cross_entropy_dice,2.389586839649187,1.3505550204827075,12,0.11289584636753269,shuffle,warmup_cosine,TrialState.COMPLETE,0.2795560956001282,0.11289584636688232,4.335746605493851e-12,0.11289584636753269
4,3.366878278636313e-05,1.215407632122785,0.00026621603950086823,results/week6/experiment_attention_unet_optuna_trial_013,focal_tversky,1.7545384550379834,1.9068497958531756,13,0.13614560347050428,weighted,warmup_cosine,TrialState.COMPLETE,0.13007980585098267,0.13007758557796478,0.04045345261693001,0.13614560347050428
4,0.0009471806892274044,2.1593538510530665,0.00023200708240041012,results/week6/experiment_attention_unet_optuna_trial_014,focal_tversky,2.7360183866093086,1.000950692744049,14,0.24352015033364297,shuffle,reduce_on_plateau,TrialState.COMPLETE,0.2211109846830368,0.2211059331893921,0.1494281142950058,0.24352015033364297
